варіант	масштаб	мед_мс	p95_мс	мін_мс	кс	виклики	примітиви	обєкти	відео_мб	текстури_мб	буфери_мб	цп_рендера_мс	пам_статична_мб	обєктів_усього	вузлів	ресурсів	безхазяйних	фіз_процес_мс	процес_мс
A1 тільки герой	45	19.0	19.4	16.8	52.5	47.0	20640.0	526.0	75.5	29.0	46.5	4.07	0.0	2558.0	335.0	372.0	0.0	0.24	28.65
A1 тільки герой	60	19.7	21.0	16.7	50.8	46.0	20510.0	524.0	76.8	30.3	46.5	4.30	0.0	2552.0	333.0	372.0	0.0	0.72	32.84
A1 тільки герой	75	19.0	19.4	18.8	52.5	47.0	20636.0	524.0	78.5	32.0	46.5	4.22	0.0	2554.0	335.0	372.0	0.0	0.14	29.09
A1 тільки герой	90	20.4	20.8	18.5	49.1	48.0	20804.0	525.0	80.6	34.0	46.5	4.24	0.0	2554.0	335.0	372.0	0.0	0.46	31.50
A1 тільки герой	100	19.0	20.0	16.7	52.5	46.0	20508.0	523.0	73.8	27.3	46.5	4.29	0.0	2554.0	335.0	372.0	0.0	0.16	29.04
A2 + траса без перешкод	45	19.2	20.9	19.2	52.0	58.0	34652.0	535.0	75.5	29.0	46.5	4.65	0.0	2554.0	335.0	372.0	0.0	0.24	32.66
A2 + траса без перешкод	60	20.4	20.8	19.0	49.1	58.0	34652.0	535.0	76.8	30.3	46.5	4.84	0.0	2558.0	335.0	372.0	0.0	0.17	35.09
A2 + траса без перешкод	75	25.8	26.2	24.2	38.8	57.0	34524.0	534.0	78.5	32.0	46.5	5.07	0.0	2554.0	335.0	372.0	0.0	0.20	34.45
A2 + траса без перешкод	90	31.9	33.3	28.7	31.3	58.0	34692.0	535.0	80.6	34.0	46.5	4.26	0.0	2554.0	335.0	372.0	0.0	0.67	42.72
A2 + траса без перешкод	100	33.3	33.3	31.0	30.0	58.0	34652.0	535.0	73.8	27.3	46.5	7.25	0.0	2560.0	337.0	372.0	0.0	0.39	41.15
A3 + перешкоди	45	19.2	27.8	19.0	52.0	58.0	34936.0	539.0	75.5	29.0	46.5	5.87	0.0	2558.0	335.0	372.0	0.0	0.50	39.27
A3 + перешкоди	60	20.0	23.0	17.4	50.0	57.0	34808.0	538.0	76.8	30.3	46.5	4.80	0.0	2552.0	333.0	372.0	0.0	0.29	29.51
A3 + перешкоди	75	25.8	26.4	24.1	38.8	57.0	34768.0	538.0	78.5	32.0	46.5	4.45	0.0	2558.0	335.0	372.0	0.0	0.19	33.87
A3 + перешкоди	90	31.9	33.3	28.7	31.3	57.0	34768.0	538.0	80.6	34.0	46.5	5.10	0.0	2556.0	337.0	372.0	0.0	0.16	43.09
A3 + перешкоди	100	33.3	34.7	31.6	30.0	57.0	34808.0	538.0	73.8	27.3	46.5	5.54	0.0	2554.0	335.0	372.0	0.0	0.65	49.71
К1 тільки герой	45	19.2	20.8	17.6	52.0	45.0	20344.0	524.0	75.5	29.0	46.5	4.40	0.0	2552.0	333.0	372.0	0.0	0.15	28.87
К1 тільки герой	60	19.7	20.0	18.4	50.8	46.0	20472.0	525.0	76.8	30.3	46.5	4.12	0.0	2554.0	335.0	372.0	0.0	0.18	29.84
К1 тільки герой	75	19.2	20.4	17.9	52.0	47.0	20642.0	527.0	78.5	32.0	46.5	4.21	0.0	2554.0	335.0	372.0	0.0	0.15	36.44
К1 тільки герой	90	20.8	20.8	16.9	48.0	46.0	20514.0	526.0	80.6	34.0	46.5	6.45	0.0	2552.0	333.0	372.0	0.0	0.13	29.71
К1 тільки герой	100	19.2	19.4	19.0	52.0	47.0	20642.0	527.0	73.8	27.3	46.5	4.01	0.0	2554.0	335.0	372.0	0.0	0.15	30.65
B2 + будинки АВТОРСЬКІ	45	27.3	28.3	25.2	36.7	151.0	117753.0	652.0	75.5	29.0	46.5	7.56	0.0	2558.0	335.0	372.0	0.0	0.15	42.15
B2 + будинки АВТОРСЬКІ	60	33.3	34.7	33.3	30.0	150.0	123281.0	651.0	76.8	30.3	46.5	7.10	0.0	2556.0	333.0	372.0	0.0	0.14	42.40
